tempo_min CA CB CC CD XA
16.521739 0.016521 0.018377 0.014653 0.000224 0.669576
16.588629 0.016521 0.018376 0.014654 0.000224 0.669576
16.655518 0.016521 0.018376 0.014654 0.000224 0.669576
16.722408 0.016521 0.018375 0.014655 0.000224 0.669576
16.789298 0.016521 0.018375 0.014656 0.000224 0.669576
16.856187 0.016521 0.018374 0.014657 0.000224 0.669576
16.923077 0.016521 0.018374 0.014657 0.000224 0.669576
16.989967 0.016521 0.018373 0.014658 0.000224 0.669577
17.056856 0.016521 0.018373 0.014659 0.000224 0.669577
17.123746 0.016521 0.018372 0.014659 0.000224 0.669577
17.190635 0.016521 0.018372 0.014660 0.000224 0.669577
17.257525 0.016521 0.018371 0.014661 0.000223 0.669577
17.324415 0.016521 0.018371 0.014661 0.000223 0.669577
17.391304 0.016521 0.018370 0.014662 0.000223 0.669577
17.458194 0.016521 0.018370 0.014662 0.000223 0.669577
17.525084 0.016521 0.018370 0.014663 0.000223 0.669577
17.591973 0.016521 0.018369 0.014664 0.000223 0.669577
17.658863 0.016521 0.018369 0.014664 0.000223 0.669577
17.725753 0.016521 0.018369 0.014665 0.000223 0.669577
17.792642 0.016521 0.018368 0.014665 0.000223 0.669577
17.859532 0.016521 0.018368 0.014666 0.000223 0.669577
17.926421 0.016521 0.018368 0.014666 0.000223 0.669577
17.993311 0.016521 0.018367 0.014666 0.000223 0.669577
18.060201 0.016521 0.018367 0.014667 0.000223 0.669577
18.127090 0.016521 0.018367 0.014667 0.000222 0.669577
18.193980 0.016521 0.018366 0.014668 0.000222 0.669577
18.260870 0.016521 0.018366 0.014668 0.000222 0.669578
18.327759 0.016521 0.018366 0.014669 0.000222 0.669578
18.394649 0.016521 0.018365 0.014669 0.000222 0.669578
18.461538 0.016521 0.018365 0.014669 0.000222 0.669578
18.528428 0.016521 0.018365 0.014670 0.000222 0.669578
18.595318 0.016521 0.018365 0.014670 0.000222 0.669578
18.662207 0.016521 0.018364 0.014670 0.000222 0.669578
18.729097 0.016521 0.018364 0.014671 0.000222 0.669578
18.795987 0.016521 0.018364 0.014671 0.000222 0.669578
18.862876 0.016521 0.018364 0.014672 0.000222 0.669578
18.929766 0.016521 0.018364 0.014672 0.000222 0.669578
18.996656 0.016521 0.018363 0.014672 0.000222 0.669578
