tempo_min h_m xA xB xC
52.462312 0.585780 0.333299 0.311086 0.355615
52.763819 0.585918 0.333300 0.311087 0.355613
53.065327 0.586054 0.333302 0.311088 0.355611
53.366834 0.586187 0.333303 0.311089 0.355609
53.668342 0.586318 0.333304 0.311090 0.355606
53.969849 0.586446 0.333305 0.311090 0.355605
54.271357 0.586571 0.333306 0.311091 0.355603
54.572864 0.586694 0.333307 0.311092 0.355601
54.874372 0.586815 0.333308 0.311093 0.355599
55.175879 0.586933 0.333309 0.311093 0.355597
55.477387 0.587049 0.333310 0.311094 0.355596
55.778894 0.587163 0.333311 0.311095 0.355594
56.080402 0.587274 0.333312 0.311095 0.355593
56.381910 0.587384 0.333313 0.311096 0.355591
56.683417 0.587491 0.333314 0.311097 0.355590
56.984925 0.587596 0.333314 0.311097 0.355589
57.286432 0.587699 0.333315 0.311098 0.355587
57.587940 0.587800 0.333316 0.311098 0.355586
57.889447 0.587899 0.333316 0.311099 0.355585
58.190955 0.587996 0.333317 0.311099 0.355584
58.492462 0.588092 0.333318 0.311100 0.355583
58.793970 0.588185 0.333318 0.311100 0.355582
59.095477 0.588277 0.333319 0.311101 0.355581
59.396985 0.588366 0.333319 0.311101 0.355580
59.698492 0.588454 0.333320 0.311101 0.355579
60.000000 0.588541 0.333321 0.311102 0.355578
